image,IoU_ConvNeXt,IoU_ResNet,pixels,score_convnext,score_resnet,score_diff
hurricane-florence_00000322_pre_disaster.png,0.533207130462218,0.42379958246346555,5726.0,3053.1440290266605,2426.6764091858035,626.467619840857
hurricane-florence_00000327_pre_disaster.png,0.5918843283582089,0.40610756608933457,1946.0,1151.8069029850747,790.285323609845,361.52157937522963
hurricane-florence_00000339_pre_disaster.png,0.7326968973747017,0.5928696085764149,3291.0,2411.305489260143,1951.1338818249815,460.1716074351616
hurricane-florence_00000348_pre_disaster.png,0.7117661126390051,0.6237212660970033,14496.0,10317.761568815018,9041.463473342159,1276.2980954728591
hurricane-florence_00000351_pre_disaster.png,0.652839170350221,0.5735956908871056,8239.0,5378.741924515471,4725.854897218863,652.8870272966078
hurricane-florence_00000352_pre_disaster.png,0.7419700214132763,0.6482540119842964,13130.0,9742.066381156317,8511.575177353812,1230.491203802505
hurricane-florence_00000354_pre_disaster.png,0.7393018840368044,0.6430408688196627,6216.0,4595.500511172776,3997.1420405830236,598.3584705897524
hurricane-florence_00000358_pre_disaster.png,0.6783510568465275,0.6334400854016546,6190.0,4198.993041880005,3920.9941286362423,277.9989132437627
hurricane-florence_00000367_pre_disaster.png,0.6594101123595506,0.5271512838306731,10497.0,6921.827949438202,5533.507026370576,1388.3209230676266
hurricane-florence_00000373_pre_disaster.png,0.5538865940668419,0.44027565084226644,2354.0,1303.8490424333459,1036.4088820826953,267.44016035065056
hurricane-florence_00000383_pre_disaster.png,0.656635349383441,0.5210347858847169,5947.0,3905.010422783324,3098.593871656411,806.416551126913
hurricane-florence_00000385_pre_disaster.png,0.8397069912743725,0.7569346021461835,8663.0,7274.381665409889,6557.324458392387,717.0572070175022
hurricane-florence_00000391_pre_disaster.png,0.8116970926301555,0.6667828511676542,2620.0,2126.6463826910076,1746.971070059254,379.6753126317535
hurricane-florence_00000402_pre_disaster.png,0.7048414023372287,0.4109449354180829,2853.0,2010.9125208681135,1172.4259007477906,838.4866201203229
hurricane-florence_00000412_pre_disaster.png,0.7294675338992394,0.5171391879877507,8523.0,6217.251791423217,4407.577299219599,1809.6744922036178
hurricane-florence_00000413_pre_disaster.png,0.6969036197121675,0.6398564492294702,3927.0,2736.7405146096817,2512.7162761241293,224.02423848555236
hurricane-florence_00000422_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000429_pre_disaster.png,0.17507418397626112,0.0,332.0,58.124629080118694,0.0,58.124629080118694
hurricane-florence_00000430_pre_disaster.png,0.7703189715453714,0.6790909861303353,65704.0,50613.03770641708,44618.99415270755,5994.043553709533
hurricane-florence_00000432_pre_disaster.png,0.5941011235955056,0.5429992892679459,1075.0,638.6587078651685,583.7242359630419,54.934471902126575
hurricane-florence_00000439_pre_disaster.png,0.8167904903417533,0.6714326565627681,6070.0,4957.918276374443,4075.596225336002,882.3220510384408
hurricane-florence_00000440_pre_disaster.png,0.7244525547445255,0.6155234657039711,518.0,375.2664233576642,318.84115523465704,56.425268123007186
hurricane-florence_00000447_pre_disaster.png,0.7059426229508197,0.6750861079219288,760.0,536.516393442623,513.0654420206658,23.450951421957143
hurricane-florence_00000458_pre_disaster.png,0.7884021342319573,0.661266013564431,12067.0,9513.648553777028,7979.49698568199,1534.1515680950379
hurricane-florence_00000463_pre_disaster.png,0.4923469387755102,0.42,311.0,153.11989795918367,130.62,22.49989795918367
hurricane-florence_00000465_pre_disaster.png,0.8071401822494071,0.6552588555858311,6851.0,5529.717388590688,4489.178419618529,1040.5389689721587
hurricane-florence_00000479_pre_disaster.png,0.7146791517488296,0.5454545454545454,3209.0,2293.405397961994,1750.3636363636363,543.0417615983577
hurricane-florence_00000487_pre_disaster.png,0.9151301518438177,0.903174179781275,3484.0,3188.313449023861,3146.658842357962,41.65460666589888
hurricane-florence_00000489_pre_disaster.png,0.2845198885229288,0.15665505226480836,1153.0,328.0514314669369,180.62327526132404,147.42815620561285
hurricane-florence_00000495_pre_disaster.png,0.7976878612716763,0.7167207792207793,1049.0,836.7745664739884,751.8400974025974,84.93446907139105
hurricane-florence_00000499_pre_disaster.png,0.7433247200689062,0.6972704714640199,1074.0,798.3307493540052,748.8684863523573,49.4622630016479
hurricane-florence_00000502_pre_disaster.png,0.6463595839524517,0.46864686468646866,618.0,399.45022288261515,289.6237623762376,109.82646050637754
hurricane-florence_00000505_pre_disaster.png,0.6111558058460713,0.49421806167400884,3356.0,2051.0388844194154,1658.5958149779738,392.4430694414416
hurricane-florence_00000511_pre_disaster.png,0.882035247299602,0.8464741810105497,3229.0,2848.091813530415,2733.265130483065,114.82668304734989
